编号,车次,出发车站,到达车站,出发时刻,到达时刻,交路编号
141,G7180,上海虹桥,南京南,615,698,141
142,G7311,上海虹桥,杭州,1047,1119,142
143,G7314,杭州,上海虹桥,1142,1203,143
144,G7126,上海虹桥,南京南,1230,1353,144
145,G7309,上海虹桥,杭州,982,1063,145
146,G7312,杭州,上海虹桥,1080,1140,146
147,DJ7725,上海虹桥,杭州东,287,333,147
148,G7566/3,合肥南,杭州东,826,1086,148
149,G7564/5,杭州东,合肥南,514,773,149
150,DJ7698,上海虹桥,南京南,306,374,150
151,G7558,杭州东,上海虹桥,426,492,151
152,G7393/2,南京南,上海虹桥,454,661,152
153,G7391/4,上海虹桥,南京南,1098,1304,153
154,G7395/8,上海虹桥,南京南,447,660,154
155,G7397/6,南京南,上海虹桥,1094,1284,155
156,G7196/7,上海虹桥,合肥南,1074,1225,156
157,G7555,上海虹桥,杭州东,1252,1327,157
158,G7556,杭州东,上海虹桥,408,483,158
159,G7612,杭州东,南京南,1282,1363,159
160,DJ8698,合肥南,南京南,312,402,160
161,G9402/3,上海虹桥,合肥南,831,1027,161
162,G9404/1,合肥南,上海虹桥,1066,1236,162
163,G9408/5,合肥南,上海虹桥,913,1064,163
164,G9406/7,上海虹桥,合肥南,1089,1276,164
165,0D5645,南京南,马鞍山东,342,413,165
166,0G7307,南京南,溧阳,348,415,166
167,DJ7731,杭州东,温州南,291,445,167
168,DJ8697,南京南,安庆,300,390,168
169,G9312,衢州,上海虹桥,1286,1407,169
170,D5495,合肥南,六安,435,463,170
171,G9232/3,上海虹桥,铜陵,385,597,171
172,G9234/1,铜陵,上海虹桥,615,800,172
173,G9236/7,上海虹桥,池州,864,1080,173
174,G9238/5,池州,上海虹桥,1110,1345,174
175,G9312,衢州,上海虹桥,1286,1407,175
176,D9511,南京南,芜湖,620,663,176
177,D9513,南京南,芜湖,745,782,177
178,D9514,芜湖,南京南,805,848,178
179,D9515,南京南,芜湖,868,905,179
180,D9516,芜湖,南京南,925,962,180
181,D9517,南京南,芜湖,995,1038,181
182,D9518,芜湖,南京南,1060,1103,182
183,D9519,南京南,芜湖,1135,1178,183
184,D9522/3,南京,南通,600,774,184
185,D9524/1,南通,南京,853,1014,185
186,G7136,上海虹桥,芜湖,630,792,186
187,G7136/1,芜湖,安庆,794,869,187
188,G7076,上海,芜湖,383,549,188
189,G7076/1,芜湖,安庆,551,626,189
190,G7084,上海,芜湖,512,675,190
191,G7084/1,芜湖,安庆,677,752,191
192,G7142/1,无锡,上海虹桥,988,1038,192
193,G7571,淮南东,无锡,740,919,193
194,G7572/1,杭州东,无锡,599,719,194
195,G7572/2,无锡,南京南,722,801,195
196,G7572/3,南京南,淮南东,803,917,196
197,G7355,南京,杭州东,455,640,197
198,G7355/1,杭州东,衢州,646,720,198
199,G7585,常州,余姚北,966,1135,199
200,G7584/1,苏州,南京,1195,1281,200
201,G7578/2,嘉兴南,宁波,896,985,201
202,G7578/4,温岭,温州南,1073,1130,202
203,G7088,上海,芜湖,774,937,203
204,G7088/1,芜湖,安庆,939,1014,204
205,G7144/1,芜湖,安庆,1206,1280,205
206,G7078/1,无锡,上海,738,801,206
207,G7092,上海,芜湖,828,991,207
208,G7092/1,芜湖,安庆,993,1068,208
209,G7094,安庆,常州,1128,1307,209
210,G7146,安庆,镇江,832,975,210
211,G7146/1,镇江,上海虹桥,981,1073,211
212,G130,上海,徐州东,675,863,212
213,G7292,上海,徐州东,1064,1261,213
214,G7221/1,无锡,上海,681,739,214
215,G7694/1,诸暨,江山,702,766,215
216,G7378,合肥南,上海虹桥,567,747,216
217,G7378/1,上海虹桥,杭州东,771,833,217
218,G7698/2,义乌,江山,776,829,218
219,G7598,合肥南,嘉兴南,626,821,219
220,G7506/1,杭州东,上海虹桥,636,695,220
221,G7511,上海虹桥,温岭,713,905,221
222,G7596/2,南京南,合肥南,1308,1363,222
223,G7599/3,温州南,苍南,899,923,223
224,G7642/1,湖州,南京南,1183,1241,224
225,G7665/2,温岭,温州南,728,766,225
226,G7660,温州南,杭州东,788,967,226
227,G7660/1,杭州东,南京南,970,1048,227
228,G7669,淮南东,杭州东,630,825,228
229,G7669/2,台州,温州南,948,998,229
230,G7590,宁波,上海虹桥,1002,1127,230
231,G7668,温州南,杭州东,1123,1311,231
232,G7668/1,杭州东,南京南,1313,1394,232
233,G7332/1,杭州东,上海虹桥,650,711,233
234,G7335/1,丽水,苍南,925,992,234
235,G7350,苍南,杭州东,1056,1233,235
236,G7350/2,常州,南京南,1362,1408,236
237,G7689,南京南,杭州东,480,563,237
238,G7689/1,杭州东,苍南,565,773,238
239,G7690,温州南,杭州东,767,962,239
240,G7690/1,杭州东,南京南,964,1069,240
241,G7611,南京南,宁波,530,687,241
242,G7680,合肥南,余姚北,960,1149,242
243,G7674/1,杭州东,南京南,617,712,243
244,G7674/2,南京南,合肥南,718,783,244
245,G7610,宁波,南京南,1045,1212,245
246,G7587,南京南,杭州东,468,654,246
247,G7588/3,丹阳,南京南,1283,1324,247
248,G7349,南京南,义乌,450,642,248
249,G7626,温州南,湖州,945,1127,249
250,G7626/1,湖州,南京南,1129,1189,250
251,G7619/2,诸暨,温州南,765,879,251
252,G7539,上海虹桥,温岭,855,1050,252
253,G7540/1,宁波,上海虹桥,667,788,253
254,G7520,宁波,昆山南,976,1133,254
255,G7520/1,昆山南,南京南,1135,1240,255
256,G7501,上海虹桥,温岭,410,609,256
257,G7516/1,绍兴北,上海虹桥,898,989,257
258,G7664,合肥南,杭州东,982,1145,258
259,G7670/2,南京南,淮南东,773,876,259
260,G1660/2,杭州东,上海虹桥,1351,1398,260
261,G1640/1,义乌,上海虹桥,1258,1363,261
262,G1640/4,诸暨,上海虹桥,1285,1363,262
263,G1802,上海虹桥,南京南,374,462,263
264,G1802/1,南京南,郑州东,464,699,264
265,G1820,郑州东,南京南,805,1007,265
266,G1820/1,南京南,上海虹桥,1009,1092,266
267,G411/1,徐州东,上海虹桥,878,1045,267
268,G360,上海虹桥,郑州东,516,757,268
269,G7325,上海虹桥,义乌,510,647,269
270,G7325/1,义乌,丽水,650,715,270
271,G7325/2,丽水,温州南,717,753,271
272,G7638/1,义乌,温州南,655,771,272
273,G7636,温州南,湖州,993,1176,273
274,G7546,温州南,杭州东,680,866,274
275,G7546/1,杭州东,上海虹桥,871,932,275
276,G7618,合肥南,义乌,938,1129,276
277,G164,苍南,义乌,614,771,277
278,G163/1,曲阜东,南京南,816,947,278
279,G163/2,南京南,杭州东,949,1033,279
280,G16,上海虹桥,济南西,660,861,280
281,G45/1,徐州东,杭州东,1117,1283,281
282,G1509/1,上饶,黄山北,741,795,282
283,G212,上海虹桥,曲阜东,523,745,283
284,G7386/1,上海虹桥,全椒,654,788,284
285,G7386/2,全椒,合肥南,795,836,285
286,G7388,合肥南,上海虹桥,866,1048,286
287,G7388/1,上海虹桥,诸暨,1052,1151,287
288,G7388/2,诸暨,衢州,1161,1225,288
289,G1956,上海虹桥,徐州东,719,921,289
290,G1481,南京南,杭州东,688,787,290
291,G1484/3,杭州东,南京南,983,1073,291
292,G7684,合肥南,绍兴北,550,727,292
293,G7682,温州南,湖州,922,1121,293
294,G268,合肥南,济南西,785,985,294
295,G271/1,徐州东,合肥南,1320,1409,295
296,G1601,合肥南,上饶,565,734,296
297,G1621,合肥南,上饶,480,647,297
298,G7545,上海虹桥,宁波,947,1070,298
299,G7545/1,宁波,温州南,1087,1199,299
300,G1349,上海虹桥,南昌西,648,875,300
301,G1364,长沙南,衢州,1002,1205,301
302,G1364/1,衢州,上海虹桥,1207,1340,302
303,G1364/5,杭州东,上海虹桥,1285,1340,303
304,G1326/3,杭州东,上海虹桥,1196,1256,304
305,G2342,宁波,杭州东,548,620,305
306,G2342/1,杭州东,新余北,635,856,306
307,G2342/2,新余北,长沙南,862,937,307
308,G2344/3,南昌西,衢州,995,1097,308
309,G2344/5,杭州东,宁波,1191,1257,309
310,G2364/3,温州南,宁波,1021,1137,310
311,G578/1,合肥南,上海虹桥,1096,1246,311
312,G576,上海虹桥,六安,504,703,312
313,G7537,上海虹桥,台州,689,883,313
314,G266,六安,合肥,490,529,314
315,G145/1,济南西,南京南,992,1140,315
316,G145/2,南京南,上海虹桥,1145,1233,316
317,G9246,上海,昆山南,921,941,317
318,G9246/1,昆山南,安庆,948,1163,318
319,G9250,上海虹桥,南京南,1081,1210,319
320,G9252/1,南京南,上海虹桥,508,629,320
321,G2362,宁波,温州南,561,672,321
322,G7276,上海,合肥,852,1040,322
323,G7276/1,合肥,淮南东,1046,1079,323
324,G7275,淮南东,水家湖,1128,1137,324
325,G7275/1,水家湖,南京南,1147,1232,325
326,G7275/2,南京南,上海,1239,1318,326
327,G7206,上海,苏州,506,547,327
328,G7205,苏州,上海,564,603,328
329,G7202,上海,无锡,559,610,329
330,G7201,无锡,上海,630,687,330
331,G7204,上海,昆山南,1132,1152,331
332,G7204/1,昆山南,无锡,1159,1188,332
333,G7203,无锡,上海,1214,1269,333
334,G7208,上海,苏州,1042,1075,334
335,G7207,苏州,上海,1100,1145,335
336,G7128,上海虹桥,常州,1270,1336,336
337,G7148,上海虹桥,芜湖,815,982,337
338,G7288,芜湖,丹阳,1017,1103,338
339,G7288/1,丹阳,上海,1109,1207,339
340,G7152,上海虹桥,惠山,952,1005,340
341,G7152/1,惠山,芜湖,1013,1130,341
342,G7220,芜湖,上海,1152,1319,342
343,G7268/1,合肥,淮南东,688,721,343
344,G7267,淮南东,上海,935,1159,344
345,G7356,衢州,常州,736,939,345
346,G7232,上海,无锡新区,495,541,346
347,G7232/1,无锡新区,六安,547,725,347
348,G7234,六安,合肥南,749,773,348
349,G7234/1,合肥南,上海,782,970,349
350,G7412/1,合肥,六安,577,616,350
351,G7630,温州南,南京南,1148,1372,351
352,G7240,上海,昆山南,654,673,352
353,G7240/1,昆山南,六安,679,876,353
354,G7242,六安,合肥南,918,946,354
355,G7242/1,合肥南,南京南,955,1009,355
356,G7242/2,南京南,上海,1023,1150,356
357,G7090,安庆,上海,1034,1274,357
358,G7138,安庆,上海虹桥,743,982,358
359,G7218,上海,芜湖,929,1078,359
360,D5644,芜湖,南京南,1095,1132,360
361,G7132,上海虹桥,安庆,581,813,361
362,G7162,六安,合肥南,535,559,362
363,G7162/1,合肥南,全椒,572,607,363
364,G7162/2,全椒,昆山南,614,738,364
365,G7162/3,昆山南,上海虹桥,746,764,365
366,G7175/1,南京南,上海虹桥,553,648,366
367,G7282,上海,芜湖,694,854,367
368,G7284,芜湖,南京南,935,979,368
369,G7284/1,南京南,上海,988,1107,369
370,G7296,上海,蚌埠南,760,897,370
371,G7296/1,蚌埠南,徐州东,906,944,371
372,G7296/2,徐州东,淮北,953,999,372
373,G7454,淮北,合肥南,1020,1160,373
374,G7452,合肥南,徐州东,1186,1298,374
375,G7298/1,南京南,上海,1093,1165,375
376,G7608,宁波,杭州东,778,832,376
377,G7608/1,杭州东,南京南,849,947,377
378,G7369,杭州东,丽水,659,788,378
379,G7518,宁波,上海虹桥,928,1045,379
380,G7322,苍南,上海虹桥,728,942,380
381,G7345,杭州东,鳌江,780,923,381
382,G7345/1,鳌江,苍南,930,942,382
383,G7686,杭州东,合肥,410,573,383
384,G7686/1,合肥,淮南东,582,615,384
385,G7643,南京南,溧阳,424,458,385
386,G7643/1,溧阳,杭州东,465,533,386
387,G7643/2,杭州东,诸暨,548,572,387
388,G7643/3,诸暨,丽水,583,653,388
389,G7348,丽水,义乌,679,739,389
390,G7348/1,义乌,诸暨,745,759,390
391,G7348/2,诸暨,上海虹桥,766,844,391
392,G7347,上海虹桥,金华南,865,980,392
393,G7644,金华南,南京南,1013,1161,393
394,G7609,南京南,宁波,833,980,394
395,G7649,南京南,衢州,940,1113,395
396,G7650,衢州,义乌,1128,1167,396
397,G7650/1,义乌,诸暨,1174,1188,397
398,G7650/2,诸暨,南京南,1194,1310,398
399,G7334,温州南,义乌,684,786,399
400,G7334/1,义乌,海宁西,798,847,400
401,G7334/2,海宁西,上海虹桥,854,908,401
402,G7628,温州南,南京南,1165,1377,402
403,G7678,宁波,杭州东,720,772,403
404,G7678/1,杭州东,合肥南,778,926,404
405,G7676,合肥南,宁波,803,1029,405
406,D5646,马鞍山东,南京南,430,448,406
407,G7622,温州南,杭州东,894,1027,407
408,G7623,杭州东,诸暨,1056,1082,408
409,G7623/1,诸暨,温州南,1088,1210,409
410,G7624,苍南,温州南,593,629,410
411,G7624/1,温州南,杭州东,635,769,411
412,G7621,杭州东,诸暨,826,850,412
413,G7621/1,诸暨,温州南,867,1000,413
414,G7505,南京南,宁波,433,659,414
415,G7510,宁波,上海虹桥,684,805,415
416,G7515,上海虹桥,宁波,840,955,416
417,G7536,温州南,杭州东,1162,1343,417
418,G7536/1,杭州东,上海虹桥,1350,1398,418
419,G7659,杭州东,温州南,395,595,419
420,G7685,淮南东,合肥,900,933,420
421,G7685/1,合肥,杭州东,939,1094,421
422,G7685/2,杭州东,诸暨,1104,1129,422
423,G7316,诸暨,杭州东,1163,1187,423
424,G7417,合肥南,黄山北,785,893,424
425,G7418,黄山北,合肥南,967,1061,425
426,G7198,六安,合肥南,794,822,426
427,G7198/1,合肥南,南京南,831,895,427
428,G7198/2,南京南,无锡东,904,955,428
429,G7198/3,无锡东,昆山南,972,1009,429
430,G7198/4,昆山南,上海虹桥,1015,1032,430
431,G7307,溧阳,杭州,426,494,431
432,G7307/1,杭州,上海虹桥,514,583,432
433,G7317,上海虹桥,宜兴,694,837,433
434,G7319,宜兴,长兴,863,875,434
435,G7319/1,长兴,上海虹桥,881,1019,435
436,G9515,杭州东,宁波,1043,1102,436
437,G9516,宁波,杭州东,1164,1231,437
438,G7327,杭州东,诸暨,381,406,438
439,G7328,诸暨,杭州东,423,448,439
440,G7324,温州南,上海虹桥,518,720,440
441,G7326,温州南,上海虹桥,783,985,441
442,G7336,苍南,上海虹桥,838,1072,442
443,G7158,六安,合肥南,975,1003,443
444,G7158/1,合肥南,镇江,1012,1094,444
445,G7158/2,镇江,上海虹桥,1101,1206,445
446,G7543,上海虹桥,温州南,427,665,446
447,G7568,温州南,杭州东,480,637,447
448,G7379,杭州东,丽水,667,779,448
449,G7380,丽水,缙云西,799,811,449
450,G7380/1,缙云西,杭州东,820,916,450
451,G7567,杭州东,温州南,937,1093,451
452,G7528,温州南,上海虹桥,1118,1351,452
453,G7331,上海虹桥,温州南,380,577,453
454,G2328/1,江山,温州南,926,1054,454
455,G7338,温州南,上海虹桥,1078,1288,455
456,G7333,上海虹桥,温州南,389,596,456
457,G7340,温州南,杭州东,1114,1258,457
458,G7340/1,杭州东,上海虹桥,1265,1324,458
459,G7341,杭州东,温州南,360,503,459
460,G7341/1,温州南,苍南,513,549,460
461,G7364/1,杭州东,上海虹桥,569,636,461
462,G7512,宁波,上海虹桥,748,872,462
463,G7522,宁波,余姚北,1035,1054,463
464,G7522/1,余姚北,上海虹桥,1060,1166,464
465,G7381,上海虹桥,杭州东,1155,1206,465
466,G7382/1,杭州东,上海虹桥,533,594,466
467,G7384,衢州,杭州东,1275,1355,467
468,G7401,合肥南,黄山北,511,612,468
469,G7406,黄山北,蚌埠南,632,801,469
470,G7405,蚌埠南,合肥南,880,936,470
471,G7405/1,合肥南,黄山北,943,1058,471
472,G7408,黄山北,蚌埠南,1085,1247,472
473,G7433,蚌埠南,合肥南,1269,1318,473
474,G7413,合肥南,黄山北,470,571,474
475,G7414,黄山北,合肥南,593,708,475
476,G7416,黄山北,合肥南,835,957,476
477,G7419,合肥南,铜陵北,988,1038,477
478,G7419/1,铜陵北,南陵,1045,1057,478
479,G7419/2,南陵,黄山北,1063,1112,479
480,G7420,黄山北,合肥南,1146,1254,480
481,G7421,合肥南,黄山北,1095,1203,481
482,G7423,合肥南,黄山北,1145,1246,482
483,G7422,黄山北,合肥南,1265,1359,483
484,G7461,上海虹桥,金山北,664,682,484
485,G7461/1,金山北,温州南,692,884,485
486,G7464,温州南,金华南,904,986,486
487,G7464/1,金华南,杭州东,992,1047,487
488,G7463,杭州东,诸暨,1069,1093,488
489,G7463/1,诸暨,温州南,1109,1217,489
490,G7466,温州南,杭州东,1233,1365,490
491,G7467,杭州东,诸暨,578,601,491
492,G7467/1,诸暨,温州南,617,730,492
493,G7467/2,温州南,苍南,736,766,493
494,G7468,苍南,鳌江,787,797,494
495,G7468/1,鳌江,诸暨,805,948,495
496,G7468/2,诸暨,杭州东,958,983,496
497,G7465,杭州东,温州南,1029,1172,497
498,G7462,温州南,杭州东,1189,1332,498
499,G7462/1,杭州东,上海虹桥,1340,1385,499
500,G7503,上海虹桥,宁波,484,592,500
501,G7503/1,宁波,台州,600,666,501
502,G7542,台州,宁波,712,779,502
503,G7542/1,宁波,上海虹桥,785,916,503
504,G7541,上海虹桥,宁波,374,470,504
505,G7541/1,宁波,台州,476,550,505
506,G7508,台州,上海虹桥,565,747,506
507,G9311,上海虹桥,杭州东,1125,1179,507
508,G9311/1,杭州东,衢州,1185,1266,508
509,G7535,上海虹桥,杭州东,1141,1195,509
510,G7535/1,杭州东,宁波,1205,1258,510
511,G7509,上海虹桥,宁波,658,773,511
512,G7514,宁波,杭州东,791,851,512
513,G7514/1,杭州东,上海虹桥,859,920,513
514,G7519,上海虹桥,宁波,952,1075,514
515,G7524,宁波,上海虹桥,1094,1217,515
516,G7533,杭州东,宁波,468,529,516
517,G7534,宁波,余姚北,1282,1301,517
518,G7534/1,余姚北,杭州东,1307,1347,518
519,G7549,上海虹桥,宁波,490,618,519
520,G7550,宁波,上海虹桥,1035,1171,520
521,G7550/1,宁波,余姚北,1035,1054,521
522,G7550/2,余姚北,杭州东,1060,1101,522
523,G7550/3,杭州东,嘉兴南,1113,1136,523
524,G7550/4,嘉兴南,上海虹桥,1142,1171,524
525,G7532,宁波,上海虹桥,510,641,525
526,G7538,苍南,杭州东,1004,1223,526
527,G7601,南京南,湖州,367,428,527
528,G7639,湖州,杭州东,438,467,528
529,D5502,南京,南通,420,573,529
530,D5514,南通,南京,600,764,530
531,D5522,南京,南通,800,952,531
532,D5534,南通,南京,972,1121,532
533,D5512,南京,南通,555,698,533
534,D5524,南通,南京,714,862,534
535,D5532,南京,南通,949,1110,535
536,D5544,南通,南京,1168,1320,536
537,D5562,南京,扬州,331,380,537
538,D5564,扬州,南京,405,457,538
539,D5506,南京,南通,480,635,539
540,D5518,南通,南京,655,807,540
541,D5526,南京,南通,842,1005,541
542,D5538,南通,南京,1055,1210,542
543,D5516,南京,南通,773,912,543
544,D5528,南通,南京,936,1073,544
545,D5536,南京,南通,1093,1241,545
546,D5548,南通,南京,1261,1408,546
547,D5651,合肥南,安庆,411,517,547
548,D5654,安庆,合肥南,540,651,548
549,D5657,合肥南,安庆,681,786,549
550,D5658,安庆,合肥南,814,925,550
551,D5665,安庆,合肥南,1305,1347,551
552,D5601,南京南,安庆,545,665,552
553,D5604,安庆,南京南,692,812,553
554,D5605,南京南,安庆,830,950,554
555,D5608,安庆,南京南,968,1088,555
556,D5609,南京南,安庆,1106,1220,556
557,D5666,安庆,合肥南,1248,1347,557
558,D5653,合肥南,安庆,446,545,558
559,D5602,安庆,南京南,573,693,559
560,D5603,南京南,安庆,710,836,560
561,D5606,安庆,南京南,854,986,561
562,D5607,南京南,安庆,1004,1130,562
563,D5610,安庆,南京南,1149,1263,563
564,D5652,安庆,合肥南,409,520,564
565,D5655,合肥南,安庆,539,644,565
566,D5656,安庆,合肥南,677,782,566
567,D5659,合肥南,安庆,807,912,567
568,D5660,安庆,合肥南,937,1042,568
569,D5663,合肥南,安庆,1063,1174,569
570,D5664,安庆,合肥南,1192,1297,570
571,D2103,合肥南,巢湖东,448,470,571
572,D2103/1,巢湖东,婺源,476,589,572
573,D2103/2,婺源,衢州,595,658,573
574,D5691,衢州,开化,680,715,574
575,D5692,开化,衢州,886,922,575
576,D2101,衢州,合肥南,942,1146,576
577,G9248,安庆,上海,1182,1399,577
578,G9313,杭州东,衢州,1085,1160,578
579,G9314,衢州,龙游,1182,1193,579
580,G9314/1,龙游,杭州东,1199,1269,580
581,G9503,合肥南,安庆,747,851,581
582,D9509,南京南,芜湖,496,542,582
583,D9510,芜湖,南京南,562,599,583
584,D9512,芜湖,南京南,689,732,584
585,D9520,芜湖,南京南,1200,1238,585
586,D9526,南京,南通,1037,1186,586
587,D9528,南通,南京,1209,1357,587
