编号,车次,出发车站,到达车站,出发时刻,到达时刻,交路编号
141,G7312,杭州,上海虹桥,1080,1140,141
142,DJ7725,上海虹桥,杭州东,287,333,142
143,G7566/3,合肥南,杭州东,826,1086,143
144,G7564/5,杭州东,合肥南,514,773,144
145,DJ7698,上海虹桥,南京南,306,374,145
146,G7558,杭州东,上海虹桥,426,492,146
147,G7393/2,南京南,上海虹桥,454,661,147
148,G7391/4,上海虹桥,南京南,1098,1304,148
149,G7395/8,上海虹桥,南京南,447,660,149
150,G7397/6,南京南,上海虹桥,1094,1284,150
151,G7196/7,上海虹桥,合肥南,1074,1225,151
152,G7555,上海虹桥,杭州东,1252,1327,152
153,G7556,杭州东,上海虹桥,408,483,153
154,G7612,杭州东,南京南,1282,1363,154
155,DJ8698,合肥南,南京南,312,402,155
156,G9402/3,上海虹桥,合肥南,831,1027,156
157,G9404/1,合肥南,上海虹桥,1066,1236,157
158,G9408/5,合肥南,上海虹桥,913,1064,158
159,G9406/7,上海虹桥,合肥南,1089,1276,159
160,0D5645,南京南,马鞍山东,342,413,160
161,0G7307,南京南,溧阳,348,415,161
162,DJ7731,杭州东,温州南,291,445,162
163,DJ8697,南京南,安庆,300,390,163
164,G9312,衢州,上海虹桥,1286,1407,164
165,D5495,合肥南,六安,435,463,165
166,G9232/3,上海虹桥,铜陵,385,597,166
167,G9234/1,铜陵,上海虹桥,615,800,167
168,G9236/7,上海虹桥,池州,864,1080,168
169,G9238/5,池州,上海虹桥,1110,1345,169
170,G9312,衢州,上海虹桥,1286,1407,170
171,D9511,南京南,芜湖,620,663,171
172,D9513,南京南,芜湖,745,782,172
173,D9514,芜湖,南京南,805,848,173
174,D9515,南京南,芜湖,868,905,174
175,D9516,芜湖,南京南,925,962,175
176,D9517,南京南,芜湖,995,1038,176
177,D9518,芜湖,南京南,1060,1103,177
178,D9519,南京南,芜湖,1135,1178,178
179,D9522/3,南京,南通,600,774,179
180,G7136,上海虹桥,芜湖,630,792,180
181,G7136/1,芜湖,安庆,794,869,181
182,G7076,上海,芜湖,383,549,182
183,G7076/1,芜湖,安庆,551,626,183
184,G7084,上海,芜湖,512,675,184
185,G7084/1,芜湖,安庆,677,752,185
186,G7572/1,杭州东,无锡,599,719,186
187,G7572/2,无锡,南京南,722,801,187
188,G7578/4,温岭,温州南,1073,1130,188
189,G7088,上海,芜湖,774,937,189
190,G7144/1,芜湖,安庆,1206,1280,190
191,G7078/1,无锡,上海,738,801,191
192,G7092,上海,芜湖,828,991,192
193,G7146,安庆,镇江,832,975,193
194,G7146/1,镇江,上海虹桥,981,1073,194
195,G130,上海,徐州东,675,863,195
196,G7292,上海,徐州东,1064,1261,196
197,G7221/1,无锡,上海,681,739,197
198,G7378,合肥南,上海虹桥,567,747,198
199,G7378/1,上海虹桥,杭州东,771,833,199
200,G7506/1,杭州东,上海虹桥,636,695,200
201,G7511,上海虹桥,温岭,713,905,201
202,G7596/2,南京南,合肥南,1308,1363,202
203,G7665/2,温岭,温州南,728,766,203
204,G7660,温州南,杭州东,788,967,204
205,G7660/1,杭州东,南京南,970,1048,205
206,G7669,淮南东,杭州东,630,825,206
207,G7669/2,台州,温州南,948,998,207
208,G7590,宁波,上海虹桥,1002,1127,208
209,G7668,温州南,杭州东,1123,1311,209
210,G7668/1,杭州东,南京南,1313,1394,210
211,G7332/1,杭州东,上海虹桥,650,711,211
212,G7350/2,常州,南京南,1362,1408,212
213,G7689,南京南,杭州东,480,563,213
214,G7689/1,杭州东,苍南,565,773,214
215,G7690,温州南,杭州东,767,962,215
216,G7690/1,杭州东,南京南,964,1069,216
217,G7611,南京南,宁波,530,687,217
218,G7674/1,杭州东,南京南,617,712,218
219,G7674/2,南京南,合肥南,718,783,219
220,G7587,南京南,杭州东,468,654,220
221,G7626/1,湖州,南京南,1129,1189,221
222,G7619/2,诸暨,温州南,765,879,222
223,G7539,上海虹桥,温岭,855,1050,223
224,G7540/1,宁波,上海虹桥,667,788,224
225,G7520,宁波,昆山南,976,1133,225
226,G7501,上海虹桥,温岭,410,609,226
227,G7664,合肥南,杭州东,982,1145,227
228,G7670/2,南京南,淮南东,773,876,228
229,G1640/1,义乌,上海虹桥,1258,1363,229
230,G1640/4,诸暨,上海虹桥,1285,1363,230
231,G1802,上海虹桥,南京南,374,462,231
232,G1802/1,南京南,郑州东,464,699,232
233,G1820,郑州东,南京南,805,1007,233
234,G1820/1,南京南,上海虹桥,1009,1092,234
235,G411/1,徐州东,上海虹桥,878,1045,235
236,G360,上海虹桥,郑州东,516,757,236
237,G7325/2,丽水,温州南,717,753,237
238,G2304/4,缙云西,温州南,1020,1076,238
239,G164,苍南,义乌,614,771,239
240,G163/2,南京南,杭州东,949,1033,240
241,G16,上海虹桥,济南西,660,861,241
242,G1509,上海虹桥,上饶,511,701,242
243,G1509/1,上饶,黄山北,741,795,243
244,G1507/1,义乌,上海虹桥,987,1076,244
245,G7386/1,上海虹桥,全椒,654,788,245
246,G7386/2,全椒,合肥南,795,836,246
247,G7388,合肥南,上海虹桥,866,1048,247
248,G7388/1,上海虹桥,诸暨,1052,1151,248
249,G7388/2,诸暨,衢州,1161,1225,249
250,G1481,南京南,杭州东,688,787,250
251,G1484/3,杭州东,南京南,983,1073,251
252,G7682,温州南,湖州,922,1121,252
253,G271/1,徐州东,合肥南,1320,1409,253
254,G1601,合肥南,上饶,565,734,254
255,G1621,合肥南,上饶,480,647,255
256,G1349,上海虹桥,南昌西,648,875,256
257,G1364/1,衢州,上海虹桥,1207,1340,257
258,G1364/5,杭州东,上海虹桥,1285,1340,258
259,G1326/3,杭州东,上海虹桥,1196,1256,259
260,G2342,宁波,杭州东,548,620,260
261,G2344/3,南昌西,衢州,995,1097,261
262,G2344/5,杭州东,宁波,1191,1257,262
263,G2364/3,温州南,宁波,1021,1137,263
264,G576,上海虹桥,六安,504,703,264
265,G7537,上海虹桥,台州,689,883,265
266,G266,六安,合肥,490,529,266
267,G145/1,济南西,南京南,992,1140,267
268,G145/2,南京南,上海虹桥,1145,1233,268
269,G9246,上海,昆山南,921,941,269
270,G9250,上海虹桥,南京南,1081,1210,270
271,G9252/1,南京南,上海虹桥,508,629,271
272,G2362,宁波,温州南,561,672,272
273,G7275/2,南京南,上海,1239,1318,273
274,G7206,上海,苏州,506,547,274
275,G7205,苏州,上海,564,603,275
276,G7202,上海,无锡,559,610,276
277,G7201,无锡,上海,630,687,277
278,G7204,上海,昆山南,1132,1152,278
279,G7204/1,昆山南,无锡,1159,1188,279
280,G7203,无锡,上海,1214,1269,280
281,G7208,上海,苏州,1042,1075,281
282,G7207,苏州,上海,1100,1145,282
283,G7128,上海虹桥,常州,1270,1336,283
284,G7148,上海虹桥,芜湖,815,982,284
285,G7288,芜湖,丹阳,1017,1103,285
286,G7288/1,丹阳,上海,1109,1207,286
287,G7220,芜湖,上海,1152,1319,287
288,G7268/1,合肥,淮南东,688,721,288
289,G7232,上海,无锡新区,495,541,289
290,G7232/1,无锡新区,六安,547,725,290
291,G7234,六安,合肥南,749,773,291
292,G7234/1,合肥南,上海,782,970,292
293,G7412/1,合肥,六安,577,616,293
294,G7240,上海,昆山南,654,673,294
295,G7240/1,昆山南,六安,679,876,295
296,G7242,六安,合肥南,918,946,296
297,G7242/1,合肥南,南京南,955,1009,297
298,G7242/2,南京南,上海,1023,1150,298
299,G7138,安庆,上海虹桥,743,982,299
300,G7218,上海,芜湖,929,1078,300
301,D5644,芜湖,南京南,1095,1132,301
302,G7132,上海虹桥,安庆,581,813,302
303,G7162,六安,合肥南,535,559,303
304,G7162/1,合肥南,全椒,572,607,304
305,G7162/2,全椒,昆山南,614,738,305
306,G7162/3,昆山南,上海虹桥,746,764,306
307,G7175/1,南京南,上海虹桥,553,648,307
308,G7282,上海,芜湖,694,854,308
309,G7284,芜湖,南京南,935,979,309
310,G7284/1,南京南,上海,988,1107,310
311,G7452,合肥南,徐州东,1186,1298,311
312,G7298/1,南京南,上海,1093,1165,312
313,G7608,宁波,杭州东,778,832,313
314,G7608/1,杭州东,南京南,849,947,314
315,G7369,杭州东,丽水,659,788,315
316,G7518,宁波,上海虹桥,928,1045,316
317,G7686,杭州东,合肥,410,573,317
318,G7686/1,合肥,淮南东,582,615,318
319,G7643,南京南,溧阳,424,458,319
320,G7643/1,溧阳,杭州东,465,533,320
321,G7643/2,杭州东,诸暨,548,572,321
322,G7643/3,诸暨,丽水,583,653,322
323,G7348,丽水,义乌,679,739,323
324,G7348/1,义乌,诸暨,745,759,324
325,G7348/2,诸暨,上海虹桥,766,844,325
326,G7347,上海虹桥,金华南,865,980,326
327,G7644,金华南,南京南,1013,1161,327
328,G7609,南京南,宁波,833,980,328
329,G7650,衢州,义乌,1128,1167,329
330,G7650/1,义乌,诸暨,1174,1188,330
331,G7650/2,诸暨,南京南,1194,1310,331
332,G7334,温州南,义乌,684,786,332
333,G7334/1,义乌,海宁西,798,847,333
334,G7334/2,海宁西,上海虹桥,854,908,334
335,G7678,宁波,杭州东,720,772,335
336,G7678/1,杭州东,合肥南,778,926,336
337,G7676,合肥南,宁波,803,1029,337
338,D5646,马鞍山东,南京南,430,448,338
339,G7622,温州南,杭州东,894,1027,339
340,G7623,杭州东,诸暨,1056,1082,340
341,G7623/1,诸暨,温州南,1088,1210,341
342,G7624,苍南,温州南,593,629,342
343,G7624/1,温州南,杭州东,635,769,343
344,G7621,杭州东,诸暨,826,850,344
345,G7621/1,诸暨,温州南,867,1000,345
346,G7505,南京南,宁波,433,659,346
347,G7510,宁波,上海虹桥,684,805,347
348,G7515,上海虹桥,宁波,840,955,348
349,G7536,温州南,杭州东,1162,1343,349
350,G7536/1,杭州东,上海虹桥,1350,1398,350
351,G7659,杭州东,温州南,395,595,351
352,G7685,淮南东,合肥,900,933,352
353,G7685/1,合肥,杭州东,939,1094,353
354,G7685/2,杭州东,诸暨,1104,1129,354
355,G7316,诸暨,杭州东,1163,1187,355
356,G7417,合肥南,黄山北,785,893,356
357,G7418,黄山北,合肥南,967,1061,357
358,G7198,六安,合肥南,794,822,358
359,G7198/1,合肥南,南京南,831,895,359
360,G7198/2,南京南,无锡东,904,955,360
361,G7198/3,无锡东,昆山南,972,1009,361
362,G7198/4,昆山南,上海虹桥,1015,1032,362
363,G7307,溧阳,杭州,426,494,363
364,G7307/1,杭州,上海虹桥,514,583,364
365,G7317,上海虹桥,宜兴,694,837,365
366,G7319,宜兴,长兴,863,875,366
367,G7319/1,长兴,上海虹桥,881,1019,367
368,G9515,杭州东,宁波,1043,1102,368
369,G9516,宁波,杭州东,1164,1231,369
370,G7327,杭州东,诸暨,381,406,370
371,G7328,诸暨,杭州东,423,448,371
372,G7324,温州南,上海虹桥,518,720,372
373,G7326,温州南,上海虹桥,783,985,373
374,G7336,苍南,上海虹桥,838,1072,374
375,G7158,六安,合肥南,975,1003,375
376,G7158/1,合肥南,镇江,1012,1094,376
377,G7158/2,镇江,上海虹桥,1101,1206,377
378,G7543,上海虹桥,温州南,427,665,378
379,G7568,温州南,杭州东,480,637,379
380,G7379,杭州东,丽水,667,779,380
381,G7380,丽水,缙云西,799,811,381
382,G7380/1,缙云西,杭州东,820,916,382
383,G7567,杭州东,温州南,937,1093,383
384,G7528,温州南,上海虹桥,1118,1351,384
385,G7331,上海虹桥,温州南,380,577,385
386,G7333,上海虹桥,温州南,389,596,386
387,G7340,温州南,杭州东,1114,1258,387
388,G7340/1,杭州东,上海虹桥,1265,1324,388
389,G7341,杭州东,温州南,360,503,389
390,G7341/1,温州南,苍南,513,549,390
391,G7364/1,杭州东,上海虹桥,569,636,391
392,G7522,宁波,余姚北,1035,1054,392
393,G7522/1,余姚北,上海虹桥,1060,1166,393
394,G7381,上海虹桥,杭州东,1155,1206,394
395,G7382/1,杭州东,上海虹桥,533,594,395
396,G7384,衢州,杭州东,1275,1355,396
397,G7405/1,合肥南,黄山北,943,1058,397
398,G7408,黄山北,蚌埠南,1085,1247,398
399,G7433,蚌埠南,合肥南,1269,1318,399
400,G7413,合肥南,黄山北,470,571,400
401,G7414,黄山北,合肥南,593,708,401
402,G7416,黄山北,合肥南,835,957,402
403,G7419,合肥南,铜陵北,988,1038,403
404,G7419/1,铜陵北,南陵,1045,1057,404
405,G7419/2,南陵,黄山北,1063,1112,405
406,G7420,黄山北,合肥南,1146,1254,406
407,G7421,合肥南,黄山北,1095,1203,407
408,G7423,合肥南,黄山北,1145,1246,408
409,G7422,黄山北,合肥南,1265,1359,409
410,G7461,上海虹桥,金山北,664,682,410
411,G7461/1,金山北,温州南,692,884,411
412,G7464,温州南,金华南,904,986,412
413,G7464/1,金华南,杭州东,992,1047,413
414,G7463,杭州东,诸暨,1069,1093,414
415,G7463/1,诸暨,温州南,1109,1217,415
416,G7466,温州南,杭州东,1233,1365,416
417,G7467,杭州东,诸暨,578,601,417
418,G7467/1,诸暨,温州南,617,730,418
419,G7467/2,温州南,苍南,736,766,419
420,G7468/2,诸暨,杭州东,958,983,420
421,G7465,杭州东,温州南,1029,1172,421
422,G7462,温州南,杭州东,1189,1332,422
423,G7462/1,杭州东,上海虹桥,1340,1385,423
424,G7503,上海虹桥,宁波,484,592,424
425,G7503/1,宁波,台州,600,666,425
426,G7542,台州,宁波,712,779,426
427,G7542/1,宁波,上海虹桥,785,916,427
428,G7541,上海虹桥,宁波,374,470,428
429,G7541/1,宁波,台州,476,550,429
430,G7508,台州,上海虹桥,565,747,430
431,G9311,上海虹桥,杭州东,1125,1179,431
432,G9311/1,杭州东,衢州,1185,1266,432
433,G7535,上海虹桥,杭州东,1141,1195,433
434,G7535/1,杭州东,宁波,1205,1258,434
435,G7509,上海虹桥,宁波,658,773,435
436,G7514,宁波,杭州东,791,851,436
437,G7514/1,杭州东,上海虹桥,859,920,437
438,G7533,杭州东,宁波,468,529,438
439,G7534,宁波,余姚北,1282,1301,439
440,G7534/1,余姚北,杭州东,1307,1347,440
441,G7549,上海虹桥,宁波,490,618,441
442,G7550,宁波,上海虹桥,1035,1171,442
443,G7550/1,宁波,余姚北,1035,1054,443
444,G7550/2,余姚北,杭州东,1060,1101,444
445,G7550/3,杭州东,嘉兴南,1113,1136,445
446,G7550/4,嘉兴南,上海虹桥,1142,1171,446
447,G7532,宁波,上海虹桥,510,641,447
448,G7601,南京南,湖州,367,428,448
449,G7639,湖州,杭州东,438,467,449
450,D5502,南京,南通,420,573,450
451,D5514,南通,南京,600,764,451
452,D5522,南京,南通,800,952,452
453,D5534,南通,南京,972,1121,453
454,D5562,南京,扬州,331,380,454
455,D5564,扬州,南京,405,457,455
456,D5506,南京,南通,480,635,456
457,D5518,南通,南京,655,807,457
458,D5516,南京,南通,773,912,458
459,D5528,南通,南京,936,1073,459
460,D5536,南京,南通,1093,1241,460
461,D5548,南通,南京,1261,1408,461
462,D5651,合肥南,安庆,411,517,462
463,D5654,安庆,合肥南,540,651,463
464,D5657,合肥南,安庆,681,786,464
465,D5658,安庆,合肥南,814,925,465
466,D5665,安庆,合肥南,1305,1347,466
467,D5601,南京南,安庆,545,665,467
468,D5604,安庆,南京南,692,812,468
469,D5605,南京南,安庆,830,950,469
470,D5608,安庆,南京南,968,1088,470
471,D5609,南京南,安庆,1106,1220,471
472,D5666,安庆,合肥南,1248,1347,472
473,D5653,合肥南,安庆,446,545,473
474,D5602,安庆,南京南,573,693,474
475,D5603,南京南,安庆,710,836,475
476,D5606,安庆,南京南,854,986,476
477,D5607,南京南,安庆,1004,1130,477
478,D5610,安庆,南京南,1149,1263,478
479,D5652,安庆,合肥南,409,520,479
480,D5655,合肥南,安庆,539,644,480
481,D5656,安庆,合肥南,677,782,481
482,D5659,合肥南,安庆,807,912,482
483,D5660,安庆,合肥南,937,1042,483
484,D5663,合肥南,安庆,1063,1174,484
485,D5664,安庆,合肥南,1192,1297,485
486,G9248,安庆,上海,1182,1399,486
487,G9313,杭州东,衢州,1085,1160,487
488,G9314,衢州,龙游,1182,1193,488
489,G9314/1,龙游,杭州东,1199,1269,489
490,G9503,合肥南,安庆,747,851,490
491,D9509,南京南,芜湖,496,542,491
492,D9510,芜湖,南京南,562,599,492
493,D9512,芜湖,南京南,689,732,493
494,D9520,芜湖,南京南,1200,1238,494
495,D9526,南京,南通,1037,1186,495
496,D9528,南通,南京,1209,1357,496
